Name,State,Party,Total_Raised
Ted Cruz,TX,R,45260806
CaskillClaire McCaskill,MO,D,38934452
Elizabeth Warren,MA,D,34897111
Bill Nelson,FL,D,33628769
Heidi Heitkamp,ND,D,31025854
Tammy Baldwin,WI,D,30898416
Pat Toomey,PA,R,30638133
Sherrod Brown,OH,D,28659987
Rob Portman,OH,R,26328525
ConnellMitch McConnell,KY,R,26225399
Cory Booker,NJ,D,26199872
Doug Jones,AL,D,25029181
Charles E Schumer,NY,D,24078285
Kamala D Harris,CA,D,22756387
Marco Rubio,FL,R,22656696
Catherine Cortez Masto,NV,D,21772595
Tim Kaine,VA,D,21472986
Bob Casey,PA,D,21266619
Ed Markey,MA,D,21069088
Jon Tester,MT,D,20944242
Kirsten Gillibrand,NY,D,20360118
Ron Johnson,WI,R,20248897
Maggie Hassan,NH,D,19829218
Bill Cassidy,LA,R,19489269
Tammy Duckworth,IL,D,18560735
John Cornyn,TX,R,18542242
Michael F Bennet,CO,D,17579297
Debbie Stabenow,MI,D,17570218
Tom Cotton,AR,R,17454786
Joe Donnelly,IN,D,17174180
Mark Warner,VA,D,17060003
David Perdue,GA,R,16971655
Jeanne Shaheen,NH,D,16663863
Roy Blunt,MO,R,16251752
Dianne Feinstein,CA,D,16092233
Dean Heller,NV,R,15090764
Christopher S Murphy,CT,D,15032338
Cory Gardner,CO,R,14766949
Joni Ernst,IA,R,14649046
Jeff Merkley,OR,D,14521093
Patty Murray,WA,D,14439587
Tim Scott,SC,R,14334118
Thom Tillis,NC,R,13919227
Ron Wyden,OR,D,13705548
Richard Burr,NC,R,12825614
Chris Van Hollen,MD,D,12498595
Robert Menendez,NJ,D,12271086
Gary Peters,MI,D,12233691
Lindsey Graham,SC,R,11873431
Bernie Sanders,VT,I,11795106
Maria Cantwell,WA,D,11667705
Rand Paul,KY,R,11352366
Todd Young,IN,R,11108033
Dick Durbin,IL,D,10886840
Brian Schatz,HI,D,10853661
Johnny Isakson,GA,R,10762336
Amy Klobuchar,MN,D,10681536
John Thune,SD,D,10467075
Chuck Grassley,IA,R,9883101
Dan Sullivan,AK,R,9525919
Joe Manchin,WV,D,9375411
Tina Smith,MN,D,9147179
Richard Blumenthal,CT,D,9049428
John Kennedy,LA,R,9029283
Steven Daines,MT,R,8854930
Tom Udall,NM,D,8687804
Shelley Moore Capito,WV,R,8566606
Martin Heinrich,NM,D,8552893
Ben Sasse,NE,R,8476695
Susan Collins,ME,R,8181090
Lamar Alexander,TN,R,8031431
James Lankford,OK,R,7870202
Pat Roberts,KS,R,7646348
John A Barrasso,WY,R,7380997
Mike Crapo,ID,R,6872245
Sheldon Whitehouse,RI,D,6608027
Jerry Moran,KS,R,6592336
Roger Wicker,MS,R,6568817
Deb Fischer,NE,R,6389119
Lisa Murkowski,AK,R,6294040
Mike Rounds,SD,D,6105119
Mike Lee,UT,R,6048504
Chris Coons,DE,D,5872276
Angus King,ME,I,5339838
SmithCindy Hyde-Smith,MS,R,5161798
Ben Cardin,MD,D,5071964
Orrin G Hatch,UT,R,4988345
Patrick Leahy,VT,D,4940984
John Boozman,AR,R,4918549
Mazie K Hirono,HI,D,4867005
Jeff Flake,AZ,R,4866082
James M Inhofe,OK,R,4646940
Jack Reed,RI,D,4408613
Tom Carper,DE,D,4262961
Richard C Shelby,AL,R,4141799
John Hoeven,ND,D,3890166
Mike Enzi,WY,R,3614589
James E Risch,ID,R,2435331
Bob Corker,TN,R,2361745
Jon Kyl,AZ,R,0
