Name,State,Party,Total_Raised
Elizabeth Warren,MA,D,51431099
Pat Toomey,PA,R,30841274
ConnellMitch McConnell,KY,R,30167647
Al Franken,MN,D,27492595
Sherrod Brown,OH,D,26808891
Rob Portman,OH,R,25428561
Marco Rubio,FL,R,25254738
Charles E Schumer,NY,D,24865827
Ted Cruz,TX,R,24586001
Tim Kaine,VA,D,22815221
CaskillClaire McCaskill,MO,D,20532222
Ron Johnson,WI,R,20308835
Cory Booker,NJ,D,20292875
Ed Markey,MA,D,19068228
Tammy Baldwin,WI,D,18657971
Kelly Ayotte,NH,R,18428000
Kirsten Gillibrand,NY,D,18214086
Michael F Bennet,CO,D,17801104
Mark Warner,VA,D,16786930
Bill Cassidy,LA,R,16699969
Jeanne Shaheen,NH,D,16508413
John Cornyn,TX,R,15900956
Roy Blunt,MO,R,15893492
Robert Menendez,NJ,D,14958912
Bill Nelson,FL,D,14929609
Debbie Stabenow,MI,D,14856681
CainJohn McCain,AZ,R,14796428
Bob Casey,PA,D,14789447
Tom Cotton,AR,R,14784852
David Perdue,GA,R,14642696
Jon Tester,MT,D,14254215
Patty Murray,WA,D,13524088
Christopher S Murphy,CT,D,13084020
Richard Burr,NC,R,12904555
Joni Ernst,IA,R,12884110
Cory Gardner,CO,R,12843925
Tim Scott,SC,R,12794494
Dianne Feinstein,CA,D,12701760
Ron Wyden,OR,D,12628463
Mark Kirk,IL,R,11973173
Jeff Merkley,OR,D,11918480
Dean Heller,NV,R,11909056
Orrin G Hatch,UT,R,11796080
Maria Cantwell,WA,D,11691083
Thom Tillis,NC,R,11563094
Bob Corker,TN,R,11380786
Rand Paul,KY,R,11053205
Johnny Isakson,GA,R,11018641
Gary Peters,MI,D,10815379
John Thune,SD,D,10524094
Dick Durbin,IL,D,10474952
Jeff Flake,AZ,R,10318416
Amy Klobuchar,MN,D,9858582
Brian Schatz,HI,D,9841175
Chuck Grassley,IA,R,9828566
Martin Heinrich,NM,D,8896778
Richard Blumenthal,CT,D,8825840
Tom Udall,NM,D,8744457
Joe Donnelly,IN,D,8289669
Pat Roberts,KS,R,8243617
Thad Cochran,MS,R,8211699
Dan Sullivan,AK,R,8195523
Lamar Alexander,TN,R,7976089
Steven Daines,MT,R,7920197
Shelley Moore Capito,WV,R,7893562
Heidi Heitkamp,ND,D,7592634
Ben Sasse,NE,R,7502700
James Lankford,OK,R,7243412
Mazie K Hirono,HI,D,7138539
Deb Fischer,NE,R,7096399
Jerry Moran,KS,R,6617848
Ben Cardin,MD,D,6480656
Susan Collins,ME,R,6186833
Chris Coons,DE,D,6147380
Lisa Murkowski,AK,R,6058418
Mike Crapo,ID,R,5875081
Mike Lee,UT,R,5855489
John A Barrasso,WY,R,5807201
Joe Manchin,WV,D,5741086
Mike Rounds,SD,D,5520677
James M Inhofe,OK,R,4912855
Richard C Shelby,AL,R,4890271
John Boozman,AR,R,4888821
Patrick Leahy,VT,D,4770988
Tom Carper,DE,D,4603049
Sheldon Whitehouse,RI,D,4528600
Jack Reed,RI,D,4057689
Roger Wicker,MS,R,3832084
John Hoeven,ND,D,3797124
Mike Enzi,WY,R,3661038
Harry Reid,NV,D,3624597
Angus King,ME,I,3558325
David Vitter,LA,R,2899218
James E Risch,ID,R,2568733
Jeff Sessions,AL,R,1762236
Bernie Sanders,VT,D,1247909
Barbara A Mikulski,MD,D,1150484
Dan Coats,IN,R,1123660
Barbara Boxer,CA,D,690527
