State,State_Abbrv,Candidate,Party,Candidate_Votes,Total_Votes
Alabama,AL,Richard C. Shelby,Republican,1335104,2087444
Alaska,AK,Lisa Murkowski,Republican,138149,311441
Arizona,AZ,Sydney Dudikoff,Republican,494,2530730
Arizona,AZ,John McCain,Republican,1359267,2530730
Arkansas,AR,John Boozman,Republican,661984,1107522
Colorado,CO,Darryl Glenn,Republican,1215318,2743023
Connecticut,CT,Dan Carter,Republican,552621,1596276
Florida,FL,Marco Rubio,Republican,4835191,9301820
Georgia,GA,Johnny Isakson,Republican,2135806,3898605
Hawaii,HI,John Carroll,Republican,92653,437664
Idaho,ID,Mike Crapo,Republican,449017,678943
Illinois,IL,Mark Kirk,Republican,2184692,5491878
Indiana,IN,Todd C. Young,Republican,1423991,2732546
Iowa,IA,Chuck Grassley,Republican,926007,1541036
Kansas,KS,Jerry Moran,Republican,732376,1177922
Kentucky,KY,Rand Paul,Republican,1090177,1903465
Louisiana,LA,"Charles W. Boustany, Jr.",Republican,298008,1997218
Louisiana,LA,John Fleming,Republican,204026,1997218
Louisiana,LA,"""Rob"" Maness",Republican,90856,1997218
Louisiana,LA,John Kennedy,Republican,536191,1997218
Louisiana,LA,Abhay Patel,Republican,1576,1997218
Louisiana,LA,"""Joseph"" Cao",Republican,21019,1997218
Louisiana,LA,David Duke,Republican,58606,1997218
Louisiana,LA,"Donald ""Crawdaddy"" Crawford",Republican,25523,1997218
Louisiana,LA,Charles Marsala,Republican,3684,1997218
Maryland,MD,Kathy Szeliga,Republican,972557,2726170
Missouri,MO,Roy Blunt,Republican,1378458,2802641
Nevada,NV,Joseph J. Heck,Republican,495079,1108294
New Hampshire,NH,Kelly Ayotte,Republican,353632,739140
New York,NY,Wendy Long,Republican,1723927,7800725
North Carolina,NC,Richard Burr,Republican,2395376,4691133
North Dakota,ND,John Hoeven,Republican,268788,342501
Ohio,OH,Rob Portman,Republican,3118567,5374164
Oklahoma,OK,James Lankford,Republican,980892,1448047
Oregon,OR,Mark Callahan,Republican,651106,1952478
Pennsylvania,PA,Patrick J. Toomey,Republican,2951702,6051856
South Carolina,SC,Tim Scott,Republican,1241609,2049893
South Dakota,SD,John R. Thune,Republican,265516,369656
Utah,UT,Mike Lee,Republican,760220,1115583
Vermont,VT,Scott Milne,Republican,103637,320467
Washington,WA,Chris Vance,Republican,1329338,3243317
Wisconsin,WI,Ron Johnson,Republican,1479471,2948741
