State,State_Abbrv,Candidate,Party,Candidate_Votes,Total_Votes
Arizona,AZ,Kyrsten Sinema,Democrat,1191100,2384308
California,CA,Dianne Feinstein,Democrat,6019422,11113364
California,CA,Kevin De Leon,Democrat,5093942,11113364
Connecticut,CT,Christopher S Murphy,Democrat,787685,1386840
Delaware,DE,Thomas R Carper,Democrat,217385,362592
Florida,FL,Bill Nelson,Democrat,4089472,8190005
Hawaii,HI,Mazie K. Hirono,Democrat,276316,388351
Indiana,IN,Joe Donnelly,Democrat,1023553,2282565
Maine,ME,Zak Ringelstein,Democrat,66268,634409
Maryland,MD,Ben Cardin,Democrat,1491614,2299889
Massachusetts,MA,Elizabeth A. Warren,Democrat,1633371,2707090
Michigan,MI,Debbie Stabenow,Democrat,2214478,4237271
Mississippi,MS,David Baria,Democrat,369567,1843803
Mississippi,MS,Mike Espy,Democrat,420819,1843803
Missouri,MO,Claire McCaskill,Democrat,1112935,2442289
Montana,MT,Jon Tester,Democrat,253876,504384
Nebraska,NE,Jane Raybould,Democrat,269917,698883
Nevada,NV,Jacky Rosen,Democrat,490071,972132
New Jersey,NJ,Robert Menendez,Democrat,1711654,3169310
New Mexico,NM,Martin T Heinrich,Democrat,376998,697012
New York,NY,Kirsten E. Gillibrand,Democrat,3755489,6055151
Ohio,OH,Sherrod Brown,Democrat,2355923,4410898
Pennsylvania,PA,Robert P Casey Jr,Democrat,2777680,4994643
Rhode Island,RI,Sheldon Whitehouse,Democrat,231477,376738
Tennessee,TN,Phil Bredesen,Democrat,985450,2243740
Texas,TX,Beto O'Rourke,Democrat,4045632,8371655
Utah,UT,Jenny Wilson,Democrat,328541,1062845
Virginia,VA,Timothy M. Kaine,Democrat,1910370,3351373
Washington,WA,Maria Cantwell,Democrat,1803364,3086168
West Virginia,WV,Joe Manchin,Democrat,288808,582911
Wisconsin,WI,Tammy Baldwin,Democrat,1472914,2657841
Wyoming,WY,Gary Trauner,Democrat,61227,203420
