State,State_Abbrv,Candidate,Party,Candidate_Votes,Total_Votes
Alabama,AL,Ron Crumpton,Democrat,748709,2087444
Alaska,AK,Ray Metcalfe,Democrat,36200,311441
Arizona,AZ,Ann Kirkpatrick,Democrat,1031245,2530730
Arkansas,AR,Conner Eldridge,Democrat,400602,1107522
California,CA,Loretta Sanchez,Democrat,4701417,12244170
California,CA,Kamala D. Harris,Democrat,7542753,12244170
Colorado,CO,Michael F. Bennet,Democrat,1370710,2743023
Connecticut,CT,Richard Blumenthal,Democrat,920766,1596276
Florida,FL,Patrick Murphy,Democrat,4122088,9301820
Georgia,GA,Jim Barksdale,Democrat,1599726,3898605
Hawaii,HI,Brian Schatz,Democrat,306604,437664
Idaho,ID,Jerry Sturgill,Democrat,188249,678943
Illinois,IL,Tammy Duckworth,Democrat,3012940,5491878
Indiana,IN,Evan Bayh,Democrat,1158947,2732546
Iowa,IA,Patty Judge,Democrat,549460,1541036
Kansas,KS,Patrick Wiesner,Democrat,379740,1177922
Kentucky,KY,Jim Gray,Democrat,813246,1903465
Louisiana,LA,Derrick Edwards,Democrat,51774,1997218
Louisiana,LA,"M. V. ""Vinny""Mendoza",Democrat,4927,1997218
Louisiana,LA,Caroline Fayard,Democrat,240917,1997218
Louisiana,LA,Peter Williams,Democrat,6855,1997218
Louisiana,LA,Joshua Pellerin,Democrat,7395,1997218
Louisiana,LA,Gary Landrieu,Democrat,45587,1997218
Louisiana,LA,Foster Campbell,Democrat,347816,1997218
Maryland,MD,Chris Van Hollen,Democrat,1659907,2726170
Missouri,MO,Jason Kander,Democrat,1300200,2802641
Nevada,NV,Catherine Cortez Masto,Democrat,521994,1108294
New Hampshire,NH,Maggie Hassan,Democrat,354649,739140
New York,NY,Charles E. Schumer,Democrat,4784220,7800725
North Carolina,NC,Deborah K. Ross,Democrat,2128165,4691133
North Dakota,ND,Eliot Glassheim,Democrat,58116,342501
Ohio,OH,Ted Strickland,Democrat,1996908,5374164
Oklahoma,OK,Mike Workman,Democrat,355911,1448047
Oregon,OR,Ron Wyden,Democrat,1105119,1952478
Pennsylvania,PA,Katie McGinty,Democrat,2865012,6051856
South Carolina,SC,Thomas Dixon,Democrat,704540,2049893
South Dakota,SD,Jay Williams,Democrat,104140,369656
Utah,UT,Misty K. Snow,Democrat,301858,1115583
Vermont,VT,Patrick J. Leahy,Democrat,192243,320467
Washington,WA,Patty Murray,Democrat,1913979,3243317
Wisconsin,WI,Russ Feingold,Democrat,1380335,2948741
