State,State_Abbrv,Candidate,Party,Candidate_Votes,Total_Votes
Arizona,AZ,Martha McSally,Republican,1135200,2384308
Connecticut,CT,Matthew Corey,Republican,545717,1386840
Delaware,DE,Robert B Arlett,Republican,137127,362592
Florida,FL,Rick Scott,Republican,4099505,8190005
Hawaii,HI,Ron Curtis,Republican,112035,388351
Indiana,IN,Mike Braun,Republican,1158000,2282565
Maine,ME,Eric L. Brakey,Republican,223502,634409
Maryland,MD,Tony Campbell,Republican,697017,2299889
Massachusetts,MA,Geoff Diehl,Republican,979210,2707090
Michigan,MI,John James,Republican,1938818,4237271
Minnesota,MN,Jim Newberger,Republican,940437,5184235
Minnesota,MN,Karin Housley,Republican,1095777,5184235
Mississippi,MS,Roger F. Wicker,Republican,547619,1843803
Mississippi,MS,Cindy Hyde-Smith,Republican,486769,1843803
Missouri,MO,Josh Hawley,Republican,1254927,2442289
Montana,MT,Matt Rosendale,Republican,235963,504384
Nebraska,NE,Deb Fischer,Republican,403151,698883
Nevada,NV,Dean Heller,Republican,441202,972132
New Jersey,NJ,Bob Hugin,Republican,1357355,3169310
New Mexico,NM,Mick Rich,Republican,212813,697012
New York,NY,Chele Chiavacci Farley,Republican,1730439,6055151
North Dakota,ND,Kevin Cramer,Republican,179720,326138
Ohio,OH,Jim Renacci,Republican,2053963,4410898
Pennsylvania,PA,Louis J. Barletta,Republican,2134848,4994643
Rhode Island,RI,"Robert G. Flanders, Jr.",Republican,144421,376738
Tennessee,TN,Marsha Blackburn,Republican,1227483,2243740
Texas,TX,Ted Cruz,Republican,4260553,8371655
Utah,UT,Mitt Romney,Republican,665215,1062845
Vermont,VT,Lawrence Zupan,Republican,74663,272624
Virginia,VA,Corey A. Stewart,Republican,1374313,3351373
Washington,WA,Susan Hutchison,Republican,1282804,3086168
West Virginia,WV,Patrick Morrisey,Republican,269872,582911
Wisconsin,WI,Leah Vukmir,Republican,1184885,2657841
Wyoming,WY,John Barrasso,Republican,136210,203420
